#{"t_start": 1731433031.081839, "env_id": "None"}
r,l,t
0.0,100,2.165313
0.0,100,3.356592
0.0,100,4.53746
0.530906,63,5.296502
0.960596,4,5.348442
0.675729,39,5.842877
0.851458,16,6.027784
0.0,100,7.228498
0.668972,40,7.73069
0.842943,17,7.922115
0.868746,14,8.094532
0.655659,42,8.635234
0.0,100,10.060628
0.0,100,11.398272
0.932065,7,11.559623
0.842943,17,11.81516
0.0,100,13.171338
0.0,100,14.456154
0.0,100,15.723192
0.0,100,16.990434
0.95099,5,17.054309
0.0,100,18.479144
0.842943,17,18.729819
0.94148,6,18.809413
0.558266,58,19.556916
0.0,100,20.898377
0.0,100,22.129214
0.0,100,23.581491
0.0,100,24.848804
0.484991,72,25.873656
0.0,100,27.186647
0.754719,28,27.534612
0.0,100,28.9742
0.0,100,30.309265
0.682555,38,30.847856
0.710553,34,31.333464
0.703448,35,31.825803
0.868746,14,32.009761
0.801631,22,32.255833
0.922745,8,32.364031
0.9801,2,32.377353
0.563905,57,33.138029
0.809728,21,33.42395
0.636185,45,34.067012
0.809728,21,34.317852
0.809728,21,34.567233
0.860058,15,34.766201
0.0,100,36.08112
0.494839,70,37.022582
0.598956,51,37.651149
0.932065,7,37.776403
0.95099,5,37.850757
0.581166,54,38.567744
0.732303,31,38.978008
0.754719,28,39.329057
0.868746,14,39.536747
0.94148,6,39.610371
0.817907,20,39.855884
0.793614,23,40.153796
0.801631,22,40.421229
0.682555,38,40.908754
0.0,100,42.142854
0.0,100,43.341519
0.494839,70,44.172835
0.777821,25,44.463124
0.0,100,45.64639
0.895338,11,45.76791
0.0,100,46.956535
0.605006,50,47.544372
0.770043,26,47.853163
0.0,100,49.038646
0.592966,52,49.672547
0.0,100,50.847352
0.629824,46,51.393023
0.0,100,52.575117
0.0,100,53.907468
0.0,100,55.142804
0.605006,50,55.74223
0.7397,30,56.097036
0.717731,33,56.468815
0.0,100,57.684254
0.0,100,58.913646
0.904382,10,59.029085
0.970299,3,59.08176
0.860058,15,59.261508
0.0,100,60.454943
0.0,100,61.636654
0.0,100,62.814067
0.99,1,62.819865
0.904382,10,62.937387
0.72498,32,63.338454
0.99,1,63.344312
0.895338,11,63.466514
0.970299,3,63.520149
0.0,100,64.705167
0.904382,10,64.823627
0.0,100,66.000921
0.94148,6,66.064285
0.72498,32,66.429854
0.0,100,67.622149
0.0,100,68.803955
0.0,100,69.990062
0.817907,20,70.221586
0.0,100,71.400943
0.851458,16,71.590848
0.895338,11,71.745267
0.886385,12,71.872371
0.0,100,73.06325
0.826169,19,73.296571
0.7397,30,73.653985
0.0,100,74.84215
0.662282,41,75.319164
0.960596,4,75.372177
0.696413,36,75.822547
0.770043,26,76.119028
0.366032,100,77.297281
0.0,100,78.483438
0.895338,11,78.60587
0.777821,25,78.905223
0.0,100,80.096131
