#{"t_start": 1731433029.0883322, "env_id": "None"}
r,l,t
0.0,100,4.157388
0.0,100,5.348053
0.392711,93,6.460637
0.0,100,7.669041
0.785678,24,7.96416
0.834514,18,8.155935
0.99,1,8.19226
0.817907,20,8.427565
0.0,100,9.653316
0.636185,45,10.194227
0.0,100,11.534156
0.0,100,12.993377
0.970299,3,13.009573
0.0,100,14.341643
0.649103,43,15.021716
0.809728,21,15.287048
0.922745,8,15.399596
0.785678,24,15.658581
0.834514,18,15.912754
0.611117,49,16.584805
0.770043,26,16.898257
0.922745,8,17.004726
0.0,100,18.230146
0.95099,5,18.297469
0.904382,10,18.439232
0.817907,20,18.702135
0.851458,16,18.899538
0.0,100,20.316548
0.886385,12,20.472017
0.868746,14,20.66547
0.960596,4,20.729388
0.0,100,22.081234
0.0,100,23.368711
0.94148,6,23.432528
0.0,100,24.73158
0.817907,20,25.00524
0.636185,45,25.690022
0.0,100,26.950692
0.9801,2,26.961643
0.0,100,28.317417
0.94148,6,28.426695
0.696413,36,28.9043
0.0,100,30.363288
0.834514,18,30.582421
0.0,100,31.929548
0.0,100,33.278922
0.785678,24,33.623467
0.0,100,34.944046
0.558266,58,35.713254
0.655659,42,36.264453
0.817907,20,36.506077
0.785678,24,36.824975
0.0,100,38.129952
0.0,100,39.453609
0.0,100,40.789027
0.575355,55,41.530311
0.0,100,42.783644
0.623525,47,43.381378
0.629824,46,43.955129
0.793614,23,44.204983
0.0,100,45.403364
0.904382,10,45.52504
0.0,100,46.70486
0.668972,40,47.177852
0.642612,44,47.703032
0.95099,5,47.760622
0.0,100,48.949389
0.0,100,50.132305
0.0,100,51.318747
0.636185,45,51.851636
0.0,100,53.032079
0.61729,48,53.616213
0.0,100,54.806073
0.689449,37,55.231128
0.826169,19,55.461243
0.0,100,56.831798
0.960596,4,56.885406
0.842943,17,57.080444
0.842943,17,57.269181
0.0,100,58.461713
0.793614,23,58.781994
0.0,100,60.004778
0.636185,45,60.538015
0.366032,100,61.736731
0.0,100,62.92042
0.785678,24,63.209644
0.655659,42,63.693018
0.0,100,64.870239
0.662282,41,65.354041
0.868746,14,65.529115
0.0,100,66.714205
0.592966,52,67.346811
0.826169,19,67.544197
0.785678,24,67.836717
0.0,100,69.023559
0.0,100,70.206084
0.703448,35,70.62029
0.0,100,71.806907
0.629824,46,72.336702
0.0,100,73.518508
0.895338,11,73.67958
0.0,100,74.870775
0.834514,18,75.061654
0.851458,16,75.247145
0.689449,37,75.705697
0.0,100,76.893069
0.0,100,78.101153
0.0,100,79.276884
0.0,100,80.46508
0.0,100,81.65811
0.547157,60,82.361844
0.0,100,83.557197
0.842943,17,83.753253
0.747172,29,84.095986
0.0,100,85.285337
0.587037,53,85.9417
0.0,100,87.112711
0.785678,24,87.373137
0.0,100,88.569243
0.860058,15,88.74467
0.696413,36,89.193582
0.886385,12,89.320418
0.0,100,90.51812
0.94148,6,90.581214
0.605006,50,91.169957
0.970299,3,91.217293
0.636185,45,91.74912
0.913517,9,91.864049
0.922745,8,91.938695
0.710553,34,92.344573
0.0,100,93.5287
0.851458,16,93.708696
0.801631,22,93.990723
0.0,100,95.204652
0.754719,28,95.514046
0.0,100,96.7042
0.970299,3,96.752744
0.913517,9,96.866036
0.826169,19,97.063716
0.932065,7,97.16282
0.381047,96,98.286007
0.95099,5,98.343847
0.598956,51,98.941725
0.785678,24,99.236026
0.851458,16,99.417984
0.785678,24,99.708467
0.61729,48,100.292281
0.826169,19,100.491882
0.826169,19,100.720665
0.642612,44,101.251684
0.41295,88,102.312265
0.9801,2,102.323314
0.0,100,103.506079
0.675729,39,103.982582
0.0,100,105.16026
0.886385,12,105.288577
0.0,100,106.497137
0.0,100,107.682638
0.0,100,108.874226
0.587037,53,109.510436
0.886385,12,109.6379
0.696413,36,110.070343
0.710553,34,110.474139
0.682555,38,110.932223
0.0,100,112.108554
0.886385,12,112.277511
0.886385,12,112.439662
0.851458,16,112.620628
0.851458,16,112.806571
0.0,100,113.992583
0.922745,8,114.105513
0.0,100,115.280592
0.785678,24,115.532752
0.0,100,116.819079
0.904382,10,116.979246
0.605006,50,117.568384
0.48989,71,118.452573
0.877521,13,118.584331
0.94148,6,118.647614
0.777821,25,118.94377
0.629824,46,119.508849
0.0,100,120.712478
0.536268,62,121.432754
0.817907,20,121.672782
0.0,100,122.861264
0.826169,19,123.092719
0.793614,23,123.343167
0.0,100,124.527267
0.592966,52,125.167685
0.9801,2,125.178524
0.886385,12,125.337017
0.0,100,126.528973
0.0,100,127.702732
0.809728,21,127.947578
0.696413,36,128.368542
0.99,1,128.374552
0.922745,8,128.481276
0.826169,19,128.71271
0.7397,30,129.066653
0.785678,24,129.320996
0.0,100,130.571164
0.0,100,131.754054
0.0,100,132.958029
0.970299,3,133.005252
0.0,100,134.182793
0.793614,23,134.471277
0.0,100,135.652122
0.552683,59,136.329523
0.0,100,137.505189
0.0,100,138.785644
0.913517,9,138.927143
0.886385,12,139.12379
0.642612,44,139.804376
0.9801,2,139.887206
0.569601,56,140.701402
0.0,100,141.982959
0.0,100,143.197845
0.817907,20,143.445262
0.94148,6,143.50926
0.960596,4,143.562928
0.717731,33,143.978131
0.0,100,145.250052
0.0,100,146.566768
0.793614,23,146.830083
0.587037,53,147.600904
0.547157,60,148.412132
0.809728,21,148.72455
0.922745,8,148.832705
0.0,100,150.2244
0.970299,3,150.242568
0.0,100,151.49008
0.47534,74,152.460156
0.0,100,153.847639
0.0,100,155.219363
